AnimalID,ConfigID,Fascicle,ElectrodeAgreement,SelectivityMagnitude,ComparisonMetric
1,300,Tibial,0.25,0.987579761965681,0.24689494049142
1,300,Peroneal,0.981815361412154,0.584172857057242,0.573549884778826
1,300,Sural,0.273146158349073,0.676567339469776,0.184801769640623
1,303,Tibial,0.375,0.72170638184669,0.270639893192509
1,303,Peroneal,0.75,0.711093002734059,0.533319752050545
1,303,Sural,0.845881647255806,0.667620025155031,0.5647275266191
1,305,Tibial,0.0231461583490735,0.85312021300586,0.019746455541029
1,305,Peroneal,1,0.88379295713867,0.88379295713867
1,305,Sural,0.714776712522723,0.886353813138663,0.633545064687233
1,306,Tibial,0.273146158349074,0.880656491657385,0.240547937521388
1,306,Peroneal,1,0.775946637217413,0.775946637217413
1,306,Sural,0.273146158349074,0.861754780075499,0.235385007616573
1,307,Tibial,0.625,0.551395491708021,0.344622182317513
1,307,Peroneal,0.822735488906732,0.651280719675647,0.535831761317872
1,307,Sural,0.323681533379471,0.72867490916205,0.235858611932719
2,300,Tibial,0.0231461583490736,0.227745436756874,0.00527143194245355
2,300,Peroneal,0.927264511093268,0.847100385227027,0.785486124554458
2,300,Sural,0.822735488906732,0.727127222373963,0.598233370797237
2,303,Tibial,0.464776712522723,0.331806040778889,0.154215720828393
2,303,Peroneal,0.75,0.786939182607568,0.590204386955676
2,303,Sural,0.927264511093268,0.876014580913687,0.812297232081504
2,305,Tibial,0.75,0.634747813961069,0.476060860470801
2,305,Peroneal,0.5,0.494104649891526,0.247052324945763
2,305,Sural,0.75,0.892951685327318,0.669713763995489
2,306,Tibial,0.523561121039177,0.702072671110624,0.367577954737648
2,306,Peroneal,0.369443892690545,0.554026990558924,0.204681888047717
2,306,Sural,0.75,0.858795096221622,0.644096322166216
2,307,Tibial,0.5,0.507339089468549,0.253669544734274
2,307,Peroneal,0.75,0.887897717193809,0.665923287895356
2,307,Sural,1,0.761960330744905,0.761960330744905
3,300,Tibial,0.562832958189001,0.987436128458848,0.555761597203188
3,300,Peroneal,0.0986904226644971,0.26185397566553,0.0258424795348101
3,300,Sural,0.952538028806154,0.689721367186845,0.656985831525643
3,303,Tibial,0.672020869622631,0.992132785402917,0.666733937227591
3,303,Peroneal,0.0474619711938459,0.204107052872932,0.00968732306391589
3,303,Sural,0.530190635744659,0.241863324928029,0.128233670006909
3,305,Tibial,0.121118941590843,0.931470931417298,0.1128187733359
3,305,Peroneal,0.75,0.322255070952573,0.241691303214429
3,305,Sural,0.677264511093268,0.805960393967305,0.545848372180804
3,306,Tibial,0.25,0.936920453424648,0.234230113356162
3,306,Peroneal,0.75,0.392902660535158,0.294676995401369
3,306,Sural,0.25,0.403009766097608,0.100752441524402
3,307,Tibial,0.5,0.972159177835241,0.486079588917621
3,307,Peroneal,0.562832958189001,0.526455816348367,0.296306684471157
3,307,Sural,0.297020869622631,0.296110540714094,0.0879510103073277
4,300,Tibial,0.25,0.845039844962833,0.211259961240708
4,300,Peroneal,0.25,0.873107518175711,0.218276879543928
4,300,Sural,0.901977950960451,0.389652825615915,0.351458257234993
4,303,Tibial,0.25,0.809108915542513,0.202277228885628
4,303,Peroneal,0.460761582414036,0.808108376404217,0.372345294274045
4,303,Sural,0.822735488906732,0.866563069737558,0.712952190849048
4,305,Tibial,1,0.92394424267577,0.92394424267577
4,305,Peroneal,0.75,0.673614066402897,0.505210549802173
4,305,Sural,0.570913276015304,0.835561883286627,0.477033372100685
4,306,Tibial,1,0.946656666784343,0.946656666784343
4,306,Peroneal,0.75,0.873639721759848,0.655229791319886
4,306,Sural,1.11022302462516e-16,0.62373868636303,6.92489050949685e-17
4,307,Tibial,0.0779791303773693,0.321735510302524,0.0250886553049099
4,307,Peroneal,0.437167041810999,0.528587637927487,0.231081094010623
4,307,Sural,0.482520718346692,0.784686256955629,0.378627376383007
5,300,Tibial,0.5,0.752220236360747,0.376110118180374
5,300,Peroneal,0.273146158349073,0.733564553515144,0.200370339693715
5,300,Sural,0.887913337656079,0.78849932192144,0.700119064666821
5,303,Tibial,0.25,0.468379752460573,0.117094938115143
5,303,Peroneal,0.702538028806154,0.992322329831365,0.697144173540057
5,303,Sural,1,0.459807265113042,0.459807265113042
5,305,Tibial,0.75,0.481867428686985,0.361400571515239
5,305,Peroneal,1,0.972347541868306,0.972347541868306
5,305,Sural,0.25,0.676441097833114,0.169110274458279
5,306,Tibial,1,0.379472186006574,0.379472186006574
5,306,Peroneal,0.848690422664497,0.882637084894589,0.749085640638549
5,306,Sural,0.322735488906732,0.778202641424567,0.251153609948668
5,307,Tibial,0.5,0.539127711018333,0.269563855509167
5,307,Peroneal,0.277075710396541,0.81936058162885,0.227024915225737
5,307,Sural,1,0.410268456298622,0.410268456298622
